"Symbol","Name","Index Country","Country of incorporation","Cross-list symbol","Cross-list exchange","Foreign filer?","GICS Sector","Market cap","Average Volume","Action"
"IPNFF","ImagineAR Inc.","Canada","","CF:IP","Canadian Securities Exchange","No","Information Technology","$12,073,328","264,844","Analyze"
"IPOOF","InPlay Oil Corp.","Canada","","CT:IPO","Toronto Stock Exchange","No","Energy","$62,149,469","35,691","Analyze"
"ISENF","IsoEnergy Ltd.","Canada","","CV:ISO","TSX Venture Exchange","No","Energy","$212,044,837","48,216","Analyze"
"ITHUF","iAnthus Capital Holdings Inc.","Canada","","CF:IAN","Canadian Securities Exchange","No","Unknown","$28,900,172","182,037","Analyze"
"ITRG","Integra Resources Corp.","Canada","","CV:ITR","TSX Venture Exchange","Yes","Materials","$166,236,196","112,044","Analyze"
"ITXXF","Itaconix plc","United Kingdom","","LN:ITX","London Stock Exchange","No","Communication Services","$37,694,334","1,000","Analyze"
"IVPAF","Ivanhoe Mines Ltd. Class A","Canada","","CT:IVN","Toronto Stock Exchange","No","Materials","$9,052,546,333","40,331","Analyze"
"JAPAF","Japan Tobacco","Japan","","JT:2914","Tokyo Stock Exchange","No","Consumer Staples","$39,440,000,000","89","Analyze"
"JDCMF","JD.Com Inc","China","","HK:9618","Hong Kong Exchange","No","Consumer Discretionary","$111,180,534,244","0","Analyze"
"JRNGF","Journey Energy Inc.","Canada","","CT:JOY","Toronto Stock Exchange","No","Energy","$48,427,657","10,163","Analyze"
"JRVMF","Jervois Mining Limited","Australia","","AT:JRV","Asx - All Markets","No","Unknown","$313,088,502","256,979","Analyze"
"JSNSF","J Sainsbury plc","United Kingdom","","LN:SBRY","London Stock Exchange","No","Consumer Staples","$9,279,890,767","1,327","Analyze"
"JUSHF","Jushi Holdings Inc Class B","Canada","","CF:JUSH","Canadian Securities Exchange","No","Consumer Discretionary","$742,417,641","566,393","Analyze"
"KGC","Kinross Gold Corporation","Canada","Canada","CT:K","Toronto Stock Exchange","Yes","Materials","$8,202,568,004","14,008,497","Analyze"
"KHRNF","Khiron Life Sciences Corp.","Canada","","CV:KHRN","TSX Venture Exchange","No","Unknown","$44,761,355","354,511","Analyze"
"KIQ","Kelso Technologies Inc","Canada","","CT:KLS","Toronto Stock Exchange","Yes","Industrials","$34,764,855","1,059,101","Analyze"
